"Region","ItemType","Sales.Channel","Order.Priority","Total.Cost","Wait.Cat"
7,6,1,3,1.15307372905772,3
7,10,2,3,2.22693922959689,3
8,7,1,2,7.44687087185019,3
8,4,2,1,1.20642296580833,1
8,5,1,3,6.73397711352949,3
8,6,2,1,1.09654308770022,2
8,11,2,2,3.06445683421631,2
8,5,2,2,2.98548330226601,1
8,5,2,1,1.74198564340085,1
8,4,2,3,1.20930257234083,3
8,7,1,4,4.6557818051381,3
8,7,1,4,6.16468681715004,1
8,12,1,2,2.1418988399415,2
8,9,2,2,10.6563376436037,2
8,6,2,2,1.09929355924222,3
8,12,1,4,1.57406344908392,3
8,2,1,1,1.28783496032277,2
8,9,2,3,6.50901603836939,1
8,2,1,4,1.23578949125346,1
8,8,2,4,1.5457589893534,1
8,5,1,3,3.80920149667351,3
8,3,2,1,2.65114192568474,3
8,4,1,4,2.48298853675018,3
8,12,2,2,2.412622862303,2
8,12,1,4,1.11532958551354,3
8,9,1,4,4.78766843650719,3
8,5,1,4,6.36964021984926,1
8,3,1,2,1.65244376048093,2
8,8,2,4,7.0188485896885,3
8,11,1,1,2.61289402227704,3
8,6,1,2,1.09157994631439,1
8,1,1,3,3.1744934496927,3
8,1,1,3,2.6119638419092,3
8,8,1,3,7.14947456973966,1
8,6,2,4,1.13993600185993,3
8,5,1,2,1.44461185468555,3
8,1,2,1,1.53987826653708,3
8,10,1,4,1.82582299099692,1
8,12,1,4,1.56086977601663,2
8,2,1,3,1.27900442277798,3
8,4,2,3,2.13815565448251,2
8,12,1,2,1.91151701022806,3
8,4,2,2,1.09681794216479,3
8,8,1,1,7.50105300540928,3
8,8,2,4,3.96581371551402,1
8,1,2,2,3.745011146077,3
8,11,1,1,3.36851415332956,3
8,1,1,2,2.376945866759,3
8,9,2,1,1.45865724885595,3
8,4,2,1,1.04642482784593,3
8,10,2,2,1.56294379167285,3
8,11,2,1,1.1617113628729,1
8,7,2,1,1.12509815923417,1
8,11,1,1,1.02375477758928,3
8,9,2,4,1.1369100335546,3
8,1,1,3,3.84885629788756,1
8,10,1,2,2.16273371086796,3
8,9,2,1,2.44856618126642,3
8,8,1,1,2.78323170462531,1
8,11,2,3,2.75411733908832,2
8,12,1,3,1.3345475380162,3
8,11,2,2,3.34564703263592,3
8,2,1,3,1.5321985966287,2
8,10,1,1,1.88464439914061,3
8,3,2,3,2.17347421437627,3
8,5,2,3,7.74274388832399,2
8,3,1,4,3.77247534726703,2
8,12,1,3,1.21986407212361,3
8,5,1,4,1.27900417573999,3
8,4,1,2,2.21446522759393,3
8,3,2,3,1.67344758892145,2
8,8,2,3,4.59393013022811,3
8,7,1,2,9.14507687734576,3
8,7,2,4,8.48692574883873,1
8,6,1,1,1.05401065625757,3
8,5,2,2,4.45795157810808,2
8,2,1,4,1.76679393919038,3
8,12,1,1,2.2268965414327,3
8,7,2,1,9.96831608156525,1
8,8,1,4,4.5223637688171,3
8,3,2,2,1.9983293868965,3
8,11,2,2,2.54881582692673,3
8,7,2,4,2.24329472539327,1
8,2,2,2,1.10012742773344,3
8,9,1,1,3.26044165454348,3
